Student ID,Percentage
1363,89
1375,98
1441,93
1498,85
1447,84
1495,86
1297,67
1471,83
1399,79
1507,98
1450,82
1438,84
1462,88
1360,97
1402,81
1465,82
1456,88
1372,98
1453,97
1405,97
1432,93
1516,88
1444,85
1426,94
1510,98
1528,98
1384,88
1504,70
1396,59
1480,84
1459,62
1489,79
1366,57
1381,89
1525,71
1411,60
1369,73
1477,63
1468,82
1513,82
1660,88
1564,54
1429,84
1417,74
1312,67
1492,77
1414,82
1624,42
1435,83
1390,91
1420,70
1270,82
1486,81
1408,97
1264,78
1294,86
1474,54
1501,97
1522,92
1423,69
1519,94
1483,67
1615,78
1555,97
1378,74
1237,92
1387,34
1345,67
1342,69
1234,57
1351,38
1348,76
1705,57
